"Primary Breed","count_primary_breed"
"Barbet","6"
"Terrier, Bedlington","4"
"Bracco Italiano","3"
"Coonhound, Bluetick","10"
"Alaskan Husky","182"
"Korean Jindo","78"
"Icelandic Sheepdog","8"
"Feist","4"
"Perro de Presa Canario","1"
"Abruzzese Mastiff","2"
"Bouvier des Flandres","16"
"Lapponian Herder","1"
"Dachshund, Miniature Smooth Haired","159"
"Terrier, Silky","18"
"Affenpinscher","4"
"Brittany, French","7"
"Japanese Chin","12"
"Alaskan Klee Kai","33"
"Lacy","6"
"Terrier, Fox, Wire","25"
"Bernese Mountain Dog","292"
"Ainu","1"
"Retriever","415"
"Belgian Sheepdog","7"
"Terrier, Yorkshire","278"
"Terrier, American Pit Bull","645"
"Kooikerhondje","4"
"Dachshund, Miniature Long Haired","124"
"Australian Shepherd","637"
"Chow Chow","52"
"Belgian Malinois","84"
"Retriever, Chesapeake Bay","27"
"Bergamasco","2"
"Mix","467"
"Podenco Canario","1"
"Poodle, Miniature","847"
"Pharaoh Hound","5"
"Greyhound","109"
"Stabyhoun","2"
"Terrier, Kerry Blue","5"
"Canaan","5"
"Maltese","288"
"Coonhound, American English","5"
"Pudelpointer","8"
"Schnauzer, Miniature","255"
"Taiwan Dog","11"
"Terrier, Lakeland","6"
"Briard","4"
"Alapaha Blue Blood Bulldog","2"
"Pointer, German Shorthaired","116"
"Swedish Elkhound","1"
"Spaniel, Tibetan","12"
"Munsterlander, Large","3"
"Poong-San Dog","1"
"Foxhound, English","2"
"Welsh Corgi, Pembroke","380"
"Brittany","69"
"Coonhound, Redbone","7"
"Mastiff","45"
"Weimaraner","51"
"Karelian Bear Dog","5"
"Dachshund, Standard Smooth Haired","158"
"Terrier, Pit Bull","247"
"Spaniel, Clumber","1"
"Retriever, Flat-Coated","48"
"Poodle, Standard","815"
"Shih Tzu","343"
"Spanish Water Dog","4"
"Norwegian Buhund","2"
"Collie, Rough","30"
"Norwegian Elkhound","12"
"Miniature Pinscher","103"
"Spaniel, English Cocker","46"
"Silken Windhound","9"
"Caucasian Mountain Dog","2"
"Retriever, Nova Scotia Duck Tolling","32"
"Biewer Terrier","1"
"Dutch Smoushond","1"
"Basenji","60"
"Hound","147"
"Schnauzer, Standard","58"
"Terrier, Border","57"
"Griffon Vendeen, Grand Basset","2"
"Griffon, Wirehaired Pointing","36"
"Terrier, English Staffordshire","15"
"Terrier","677"
"Terrier, Irish","17"
"Spaniel, English Springer","115"
"Bolognese","4"
"Shiloh Shepherd","2"
"Terrier, Cairn","72"
"Doberman Pinscher","115"
"Terrier, American Crested Sand","3"
"Chinese Shar-Pei","32"
"Carolina Dog","30"
"Bully American - XL","6"
"Boerboel","2"
"Rhodesian Ridgeback","78"
"Terrier, Australian","9"
"Spaniel, Irish Water","2"
"Dogue de Bordeaux","1"
"Kai Ken","2"
"Argentine Dogo","1"
"White Swiss Shepherd (Berger Blanc Suisse)","13"
"Dachshund, Standard Wire Haired","23"
